Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
ADC, Gadget (12580887), Gadget,12580887,CPT,12900,VEG@MG 05/05/2019 01:55AM ET,VEG,17.49
MID, Nomanz (12580888), Nomanz,12580888,CPT,12600,VEG@MG 05/05/2019 01:55AM ET,VEG,26.59
ADC, Mills (12580889), Mills,12580889,CPT,12300,DFM@INZ 05/05/2019 01:00AM ET,INZ,11.99
MID, Envy (12580890), Envy,12580890,CPT,11700,DFM@INZ 05/05/2019 01:00AM ET,INZ,14.75
ADC, Yutapon (12580891), Yutapon,12580891,CPT,11100,DFM@INZ 05/05/2019 01:00AM ET,DFM,6.92
TOP, BOSS (12580892), BOSS,12580892,CPT,10800,VEG@MG 05/05/2019 01:55AM ET,VEG,21.49
JNG, AHaHaCiK (12580893), AHaHaCiK,12580893,CPT,10800,VEG@MG 05/05/2019 01:55AM ET,VEG,21.07
MID, Ceros (12580894), Ceros,12580894,CPT,10500,DFM@INZ 05/05/2019 01:00AM ET,DFM,11.09
TOP, Razly (12580895), Razly,12580895,CPT,10500,VEG@MG 05/05/2019 01:55AM ET,VEG,0
MID, Ramune (12580896), Ramune,12580896,CPT,10200,DFM@INZ 05/05/2019 01:00AM ET,DFM,0
JNG, Shini (12580897), Shini,12580897,CPT,10200,DFM@INZ 05/05/2019 01:00AM ET,INZ,17.1
ADC, Lloyd (12580898), Lloyd,12580898,CPT,9900,VEG@MG 05/05/2019 01:55AM ET,MG,19.79
TOP, Tay (12580899), Tay,12580899,CPT,9600,DFM@INZ 05/05/2019 01:00AM ET,INZ,9.82
SUP, SaNTaS (12580900), SaNTaS,12580900,CPT,9300,VEG@MG 05/05/2019 01:55AM ET,VEG,21.01
MID, G4 (12580901), G4,12580901,CPT,9300,VEG@MG 05/05/2019 01:55AM ET,MG,26.25
JNG, Steal (12580902), Steal,12580902,CPT,9000,DFM@INZ 05/05/2019 01:00AM ET,DFM,10.05
TOP, Evi (12580903), Evi,12580903,CPT,8700,DFM@INZ 05/05/2019 01:00AM ET,DFM,17.98
ADC, Gadget (12580859), Gadget,12580859,ADC,8600,VEG@MG 05/05/2019 01:55AM ET,VEG,17.49
MID, Nomanz (12580860), Nomanz,12580860,MID,8400,VEG@MG 05/05/2019 01:55AM ET,VEG,26.59
SUP, RedBert (12580904), RedBert,12580904,CPT,8400,DFM@INZ 05/05/2019 01:00AM ET,INZ,6.7
ADC, Mills (12580861), Mills,12580861,ADC,8200,DFM@INZ 05/05/2019 01:00AM ET,INZ,11.99
SUP, BocaJR (12580905), BocaJR,12580905,CPT,8100,DFM@INZ 05/05/2019 01:00AM ET,INZ,0
JNG, Jjun (12580906), Jjun,12580906,CPT,8100,VEG@MG 05/05/2019 01:55AM ET,MG,18.23
MID, Envy (12580862), Envy,12580862,MID,7800,DFM@INZ 05/05/2019 01:00AM ET,INZ,14.75
TEAM, Vega Squadron (12580907), Vega Squadron,12580907,CPT,7800,VEG@MG 05/05/2019 01:55AM ET,VEG,30.5
TOP, Rockky (12580908), Rockky,12580908,CPT,7800,VEG@MG 05/05/2019 01:55AM ET,MG,20.72
TOP, WarLocK (12580909), WarLocK,12580909,CPT,7500,VEG@MG 05/05/2019 01:55AM ET,MG,0
ADC, Yutapon (12580863), Yutapon,12580863,ADC,7400,DFM@INZ 05/05/2019 01:00AM ET,DFM,6.92
TOP, BOSS (12580864), BOSS,12580864,TOP,7200,VEG@MG 05/05/2019 01:55AM ET,VEG,21.49
JNG, AHaHaCiK (12580865), AHaHaCiK,12580865,JNG,7200,VEG@MG 05/05/2019 01:55AM ET,VEG,21.07
SUP, Gaeng (12580910), Gaeng,12580910,CPT,7200,DFM@INZ 05/05/2019 01:00AM ET,DFM,9.08
TEAM, INTZ e-Sports (12580911), INTZ e-Sports,12580911,CPT,7200,DFM@INZ 05/05/2019 01:00AM ET,INZ,5
MID, Ceros (12580866), Ceros,12580866,MID,7000,DFM@INZ 05/05/2019 01:00AM ET,DFM,11.09
TOP, Razly (12580867), Razly,12580867,TOP,7000,VEG@MG 05/05/2019 01:55AM ET,VEG,0
MID, Ramune (12580868), Ramune,12580868,MID,6800,DFM@INZ 05/05/2019 01:00AM ET,DFM,0
JNG, Shini (12580869), Shini,12580869,JNG,6800,DFM@INZ 05/05/2019 01:00AM ET,INZ,17.1
ADC, Lloyd (12580870), Lloyd,12580870,ADC,6600,VEG@MG 05/05/2019 01:55AM ET,MG,19.79
SUP, PoP (12580912), PoP,12580912,CPT,6600,VEG@MG 05/05/2019 01:55AM ET,MG,18.45
TOP, Tay (12580871), Tay,12580871,TOP,6400,DFM@INZ 05/05/2019 01:00AM ET,INZ,9.82
TEAM, DetonatioN FocusMe (12580913), DetonatioN FocusMe,12580913,CPT,6300,DFM@INZ 05/05/2019 01:00AM ET,DFM,11.5
SUP, SaNTaS (12580872), SaNTaS,12580872,SUP,6200,VEG@MG 05/05/2019 01:55AM ET,VEG,21.01
MID, G4 (12580873), G4,12580873,MID,6200,VEG@MG 05/05/2019 01:55AM ET,MG,26.25
JNG, Steal (12580874), Steal,12580874,JNG,6000,DFM@INZ 05/05/2019 01:00AM ET,DFM,10.05
TOP, Evi (12580875), Evi,12580875,TOP,5800,DFM@INZ 05/05/2019 01:00AM ET,DFM,17.98
SUP, RedBert (12580876), RedBert,12580876,SUP,5600,DFM@INZ 05/05/2019 01:00AM ET,INZ,6.7
SUP, BocaJR (12580877), BocaJR,12580877,SUP,5400,DFM@INZ 05/05/2019 01:00AM ET,INZ,0
JNG, Jjun (12580878), Jjun,12580878,JNG,5400,VEG@MG 05/05/2019 01:55AM ET,MG,18.23
TEAM, MEGA Esports (12580914), MEGA Esports,12580914,CPT,5400,VEG@MG 05/05/2019 01:55AM ET,MG,17.5
TEAM, Vega Squadron (12580879), Vega Squadron,12580879,TEAM,5200,VEG@MG 05/05/2019 01:55AM ET,VEG,30.5
TOP, Rockky (12580880), Rockky,12580880,TOP,5200,VEG@MG 05/05/2019 01:55AM ET,MG,20.72
TOP, WarLocK (12580881), WarLocK,12580881,TOP,5000,VEG@MG 05/05/2019 01:55AM ET,MG,0
SUP, Gaeng (12580882), Gaeng,12580882,SUP,4800,DFM@INZ 05/05/2019 01:00AM ET,DFM,9.08
TEAM, INTZ e-Sports (12580883), INTZ e-Sports,12580883,TEAM,4800,DFM@INZ 05/05/2019 01:00AM ET,INZ,5
SUP, PoP (12580884), PoP,12580884,SUP,4400,VEG@MG 05/05/2019 01:55AM ET,MG,18.45
TEAM, DetonatioN FocusMe (12580885), DetonatioN FocusMe,12580885,TEAM,4200,DFM@INZ 05/05/2019 01:00AM ET,DFM,11.5
TEAM, MEGA Esports (12580886), MEGA Esports,12580886,TEAM,3600,VEG@MG 05/05/2019 01:55AM ET,MG,17.5
